season,episode_num,title,original_air_date,imdb_rating,total_votes,desc
2,19,Park Safety,2010-03-18,8.2,2161,"Leslie goes on a crusade to improve park safety after Jerry is mugged, which is later discovered to be a lie. Meanwhile, Ron tries to teach the office self-defense, but winds up injuring Andy instead."
2,20,Summer Catalog,2010-03-25,7.9,2048,"Preparing the Summer Events Catalog, Leslie decides to take Ron and the past directors of the Parks Department out for a picnic lunch. Tom enlists the help of Ann and Mark to pose for the cover photo."
2,21,94 Meetings,2010-04-29,8.6,2230,"Leslie goes all out to save a gazebo at a mansion on the historical register from being destroyed, while April gets in trouble with Ron when she accidentally schedules 93 meetings for him on the same day."
2,22,Telethon,2010-05-06,8.3,2146,"Leslie struggles to stay awake and fill the overnight hours at a local telethon when Tom and celebrity guest Detlef Schrempf are sidetracked at a nightclub, and the answer to her problems could be a surprise marriage proposal."
2,23,The Master Plan,2010-05-13,8.6,2190,"Everyone is excited about celebrating April's 21st birthday except Leslie, who is preoccupied with the prospect of her budget being cut by the state auditor's office."
2,24,Freddy Spaghetti,2010-05-20,8.7,2213,"The government is shut down and the parks are closed, but Leslie tries to skirt the rules to hold a children's concert in the vacant lot. Meanwhile, will April's jealousy of Ann keep her from getting together with Andy?"
3,1,Go Big or Go Home,2011-01-20,8.2,2132,"Leslie encourages Ann to go on a date with Chris so that she can ask for money for Leslie's department, while Ron, Andy, and Tom put together a two-team youth basketball league."
3,2,Flu Season,2011-01-27,9.0,2681,"Leslie gets the flu right before an important fund-raising pitch for the Harvest Festival, Chris tries frantically to avoid catching the bug, and Ron hires Andy to replace April while she is out."
3,3,Time Capsule,2011-02-03,8.1,2093,"A crackpot handcuffs himself to a pipe in Leslie's office and demands that ""Twilight"" be placed in the Pawnee Time Capsule, and Chris tries to help Andy woo April in spite of Ann's reservations."
3,4,Ron & Tammy 2,2011-02-10,8.6,2259,"After Ron breaks up with Tom's ex-wife, he decides to get back together with his Tammy, much to everyone's horror. Meanwhile, Leslie and Ben try to get the local police to donate their services to the upcoming Harvest Festival."
3,5,Media Blitz,2011-02-17,8.1,2049,"Leslie hits the Pawnee media circuit to promote the Harvest Festival, but Ben freaks out on air when his past is exposed. Meanwhile, April threatens Andy that she'll leave for Indianapolis unless he does her chores."
3,6,Indianapolis,2011-02-24,8.1,2046,"Leslie and Ron go to Indianapolis to receive a commendation from the state. While there, Ron finds out his favorite steak house is closed and Leslie thinks Chris is cheating on Ann. Meanwhile, Tom throws a party for a fragrance designer."
3,7,Harvest Festival,2011-03-17,8.8,2298,"On the day before the Harvest Festival, a local Native American leader places a ""curse"" on the event because Leslie refuses to give in to his demands."
3,8,Camping,2011-03-24,8.1,2052,"Leslie sets up a camping trip to brainstorm for new ideas, but she's the one who surprisingly can't come up with anything. Meanwhile, Chris returns to Pawnee as temporary city manager, causing further confusion for Ann."
3,9,Andy and April's Fancy Party,2011-04-14,9.0,2605,"Andy and April's party turns into a surprise wedding, but Leslie does not approve. Meanwhile, Ben debates whether to stay in Pawnee, and Donna gives Ann advice at a singles mixer."
3,10,Soulmates,2011-04-21,8.6,2163,"Leslie is matched up with Tom on an Internet dating website, while Chris and Ron compete in a hamburger cook-off."
3,11,Jerry's Painting,2011-04-28,8.7,2184,"Chris deals with community uproar over Jerry's new painting, which features a nude Leslie, and Ben tries to help teach Andy and April responsibility after he moves in with them."
3,12,Eagleton,2011-05-05,8.2,2061,"Leslie is forced to deal with a former beloved colleague-turned bitter enemy when a neighboring town separates a shared park with a fence. Meanwhile, Ron fears the worst when Leslie finds out about his birthday."
3,13,The Fight,2011-05-12,8.9,2597,"While Tom invites everyone to the Snakehole as he debuts a new drink, Leslie encourages Ann to apply for a job with the city. However, at the nightclub, Leslie and Ann get into a fight over their dating habits."
3,14,Road Trip,2011-05-12,8.6,2147,"The romantic tension between Leslie and Ben reaches dangerous levels when they take a work-related road trip to Indianapolis, Tom's ""game show"" creates tension between Andy and April, and Ron teaches government to a nine year old."
3,15,The Bubble,2011-05-19,8.2,1985,"Leslie's mom makes a pass at Ben, not knowing that he and Leslie are dating. Meanwhile, Chris makes radical changes in the office, and nobody is happy with them."
3,16,Li'l Sebastian,2011-05-19,8.9,2341,"While the department sets up a memorial service for Li'l Sebastian, Ron finds out about Leslie and Ben, Tom considers taking a job in the private sector, and Chris deals with his own mortality after he discovers that he has tendinitis."
4,1,I'm Leslie Knope,2011-09-22,8.2,2020,"Leslie decides to run for political office, which means that she has to break up with Ben. Meanwhile, Ron goes into hiding from Tammy 1, and Tom tries to recruit Andy for his latest business venture."
4,2,Ron and Tammys,2011-09-29,8.7,2197,"Ron becomes a wimp after he and Tammy 1 get back together and Leslie tries to save him, Ben discovers that Tom's business is hemorrhaging money, and Ann has a frustrating experience shooting a diabetes PSA with Chris."
4,3,Born and Raised,2011-10-06,8.2,1961,"Leslie is accused of not being born in Pawnee while she is trying to promote her new book about the city. Meanwhile, Ann tries in vain to have a five-minute conversation with Ron and April."
4,4,Pawnee Rangers,2011-10-13,8.3,2146,"Ron's Pawnee Rangers and Leslie's competing scout group, the Pawnee Goddesses, share a weekend in the wilderness, Ben joins Tom and Donna on ""Treat Yo Self Day,"" and Chris takes an interest in Jerry's daughter."
4,5,Meet 'N' Greet,2011-10-27,7.8,1911,"Leslie's opportunity to stump for votes in the business community is sabotaged by Tom, who wants to promote Entertainment 7Twenty. Meanwhile, Andy and April throw a Halloween party, but don't give Ben advance notice."
4,6,End of the World,2011-11-03,8.6,2182,"A cult predicting the end of the world reserves a park, Leslie becomes jealous when another woman takes interest in Ben, Tom throws a huge party for the closing of Entertainment 7Twenty, and Andy and April try to do something stupid."
4,7,The Treaty,2011-11-10,8.0,1962,"Leslie and Ben argue over their relationship and ruin the high school Model U.N. they are hosting, Chris wonders where his relationship with Jerry's daughter is going wrong, and Ron tries to get Tom to take back his old job."
4,8,Smallest Park,2011-11-17,8.1,1930,"Leslie tries to manipulate a new park project to extend her working relationship with Ben, Tom and Jerry work together to create a new department logo, and Andy tries to find the right college course to sign up for."
4,9,The Trial of Leslie Knope,2011-12-01,8.5,1992,Chris brings Leslie up on ethics charges for her relationship with Ben.
4,10,Citizen Knope,2011-12-08,8.5,1959,"Leslie tries to keep herself busy during her suspension from the department, but gets some bad news about her campaign. Meanwhile, Ben searches for a job in the private sector, and the office makes the perfect Christmas gift for Leslie."
4,11,The Comeback Kid,2012-01-12,8.6,2164,"Leslie appoints Ann as her new campaign manager, but her attempt to relaunch the campaign goes off to a horrendous start, while Chris discovers that Ben is depressed after leaving his job."
4,12,Campaign Ad,2012-01-19,8.4,1908,"Leslie tries to keep Ben from making a negative campaign ad against a popular new candidate, Andy takes a visit to the doctor, and Ron becomes uncomfortable when Chris suddenly starts trying to hang out with him."
